id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,custom_label_0,custom_label_1
1,Álbum Tapa Dura + 50 sobres de figuritas,🔥 SÚPER COMBO — El combo más completo. Álbum tapa dura oficial PANINI + 350 figuritas (50 sobres × 7 figus).,in stock,new,129999.00 ARS,https://mundialpaniniarg.shop/#/product/1,https://mundialpaniniarg.shop/catalogo/album_tapa_dura-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
2,Álbum Tapa Dura + 100 sobres de figuritas,⭐ MEGA COMBO — 700 figuritas de una vez. Para el coleccionista serio. Álbum tapa dura + 100 sobres.,in stock,new,239999.00 ARS,https://mundialpaniniarg.shop/#/product/2,https://mundialpaniniarg.shop/catalogo/album_tapa_dura-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
3,Álbum Dorado + 7 sobres de figuritas,✨ EDICIÓN ORO — Álbum edición dorada coleccionista + 7 sobres para arrancar tu colección.,in stock,new,39999.00 ARS,https://mundialpaniniarg.shop/#/product/3,https://mundialpaniniarg.shop/catalogo/album_dorado-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
4,Álbum Tapa Blanda + 7.5 sobres de figuritas,👋 IDEAL PARA EMPEZAR — El combo ideal para empezar. Álbum oficial + 7 sobres y ½ (pack de regalo).,in stock,new,25999.00 ARS,https://mundialpaniniarg.shop/#/product/4,https://mundialpaniniarg.shop/catalogo/album_sobres_7_5.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,catalogo
5,Álbum Tapa Dura FIFA World Cup 2026,"TAPA DURA — Álbum oficial PANINI de tapa dura. Tapa rígida premium, 112 páginas, 980 espacios.",in stock,new,18999.00 ARS,https://mundialpaniniarg.shop/#/product/5,https://mundialpaniniarg.shop/catalogo/album_tapa_dura_1.webp,Campeón Figus,Toys & Games > Collectible Toys,Álbumes,albums,catalogo
6,Álbum Dorado FIFA World Cup 2026,✨ EDICIÓN ORO — Álbum edición especial dorada. Tapa exclusiva coleccionista. Edición limitada.,in stock,new,22999.00 ARS,https://mundialpaniniarg.shop/#/product/6,https://mundialpaniniarg.shop/catalogo/album_dorado_1.webp,Campeón Figus,Toys & Games > Collectible Toys,Álbumes,albums,catalogo
7,Álbum Tapa Blanda FIFA World Cup 2026,Álbum oficial PANINI tapa blanda. La opción más accesible para empezar tu colección del Mundial.,in stock,new,12999.00 ARS,https://mundialpaniniarg.shop/#/product/7,https://mundialpaniniarg.shop/catalogo/album_83_3.webp,Campeón Figus,Toys & Games > Collectible Toys,Álbumes,albums,catalogo
8,Pack x11 sobres de figuritas (77 figus),🎯 MÁS VENDIDO — 11 sobres sellados de fábrica. 77 figuritas oficiales del Mundial FIFA 2026 PANINI.,in stock,new,19999.00 ARS,https://mundialpaniniarg.shop/#/product/8,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
9,Pack x25 sobres de figuritas (175 figus),⚡ OFERTA — 25 sobres cerrados. 175 figuritas para avanzar rápido en tu álbum del Mundial 2026.,in stock,new,44999.00 ARS,https://mundialpaniniarg.shop/#/product/9,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
10,Pack x50 sobres de figuritas (350 figus),🏆 MEJOR PRECIO/FIGUITA — 50 sobres de figuritas. El mejor precio por figurita del mercado. Para completar el álbum.,in stock,new,84999.00 ARS,https://mundialpaniniarg.shop/#/product/10,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
